Year,Miles,Price,Brand,Model,cross,grand,passenger,sport,cab,sportback,regular,coupe,limited,hybrid,crew,town,double,electric,plug-in
2016,62317,18990,2,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,54383,17590,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,95008,18990,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,53611,17990,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,63340,20590,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,60025,20990,18,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,50483,20990,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,87907,16590,8,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,53150,18990,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,60237,22990,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,63526,23990,9,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,47818,17990,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,86459,18590,12,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018,61971,24990,5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,44590,19990,16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,81781,13990,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,46030,16590,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,84962,16590,18,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,100648,15990,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,11497,23590,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,14100,20990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,86554,15990,12,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2015,88509,15590,5,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,102417,14990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,32155,13990,17,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,83708,15990,9,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,42584,17990,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,72722,24590,13,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2011,70958,18990,2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,60258,19990,19,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,57691,19590,18,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,40734,18590,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,97280,16590,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,54957,14990,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,71159,16990,16,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,53392,19590,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,20884,19590,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,31465,20990,0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,45668,16990,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,90393,11990,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,75938,17590,8,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,43144,20990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,48794,19590,15,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2019,7043,21990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,32223,22990,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,93022,16590,19,7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2012,28322,18990,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,50572,24990,13,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,39997,17990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,62125,14590,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,6877,24990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,50696,22590,16,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,63418,20990,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,57100,15590,13,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,66651,17990,16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,52304,19590,19,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,37309,23990,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,39887,18590,16,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,85213,17990,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,71698,21990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,7188,24590,8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,95183,13990,18,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,27280,16590,13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,95731,18990,19,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,43262,24990,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,95259,14590,0,10,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016,62354,16990,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,50948,22990,19,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,54647,24990,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,48948,13990,9,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,52811,24590,28,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,79605,18990,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,45318,19990,13,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,60940,17590,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,26331,23590,8,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,71244,22990,12,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,46051,18990,26,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,51148,22990,22,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,79870,16590,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,74996,14590,0,10,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2017,104396,15990,12,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2017,80611,23590,9,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,92096,20990,2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,41528,16990,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,77621,22990,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,31395,18990,19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,51483,22590,0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,57976,22590,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,42221,19990,19,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,92876,15990,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,36364,23590,13,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,70998,19990,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,84297,18990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,96980,21990,2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,32111,21590,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,51362,24990,9,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,99750,13590,0,11,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2015,33187,24990,13,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,41233,24990,0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,71095,14990,0,10,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2011,55022,15990,16,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,51001,18990,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,19145,24590,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,44100,20590,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,31043,16590,9,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,54046,14590,19,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,98615,13990,0,11,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2017,45625,20590,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,103261,17590,20,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,22825,23990,20,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,70055,15990,18,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,44575,18590,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,81914,15990,18,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,69634,17990,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,73013,15990,13,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,15304,22990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,27972,19990,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
